offset	jp	ko
0x4F0248	方針	방침
0x4F0250	方針残月	방침잔월
0x4F0260	開発目標	개발목표
0x4F0270	商業目標	상업목표
0x4F0280	技術目標	기술목표
0x4F0290	防御目標	방어목표
0x4F02A0	攻込先	공격처
0x4F02A8	輸送先	수송처
0x4F02B0	輸送金	수송금
0x4F02B8	目標	목표
0x4F02C0	目標残量	목표잔량
0x4F02D0	隣接	인접
0x4F02D8	友好	우호
0x4F02E0	内通武将	내통무장
0x4F02F0	埋伏武将	매복무장
0x4F0300	委任	위임
0x4F0308	戦争重視	전쟁중시
0x4F0318	内政重視	내정중시
0x4F0328	輸送重視	수송중시
0x4F0338	農耕	농경
0x4F0340	城塞	성새
0x4F0348	放牧	방목
0x4F0350	通常	통상
0x4F0358	山岳	산악
0x4F0360	河川	하천
0x4F0368	海上	해상
0x4F0370	桟道	잔도
0x4F0378	小	소
0x4F0380	中	중
0x4F0388	大	대
0x4F0390	建業	건업
0x4F0398	ｹﾝｷﾞｮｳ	건업
0x4F06F8	所属	소속
0x4F0700	状態	상태
0x4F0708	経済	경제
0x4F0710	内政	내정
0x4F0718	方針	방침
0x4F0720	災害	재해
0x4F0728	個人	개인
0x4F0730	都市選択	도시선택
0x4F0740	地図	지도
0x4F07C8	都市一覧	도시일람
0x4F0808	実行	실행
0x4F0810	中止	중지
0x4F0878	第一軍団	제1군단
0x4F0888	第二軍団	제2군단
0x4F0898	第三軍団	제3군단
0x4F08A8	第四軍団	제4군단
0x4F08B8	第五軍団	제5군단
0x4F08C8	第六軍団	제6군단
0x4F08D8	第七軍団	제7군단
0x4F08E8	第八軍団	제8군단
0x4F08F8	第一	제1
0x4F0900	第二	제2
0x4F0908	第三	제3
0x4F0910	第四	제4
0x4F0918	第五	제5
0x4F0920	第六	제6
0x4F0928	第七	제7
0x4F0930	第八	제8
0x4F0938	委任	위임
0x4F0940	州制覇	주제패
0x4F0948	勢力打倒	세력타도
0x4F0958	番号	번호
0x4F0960	軍団	군단
0x4F0968	勢力	세력
0x4F0970	都督	도독
0x4F0978	軍師	군사
0x4F0980	本拠	본거
0x4F0988	都市	도시
0x4F0990	方針	방침
0x4F0998	目標	목표
0x4F09A0	武将	무장
0x4F09A8	金	금
0x4F09B0	兵糧	병량
0x4F09B8	兵士	병사
0x4F09C0	人口	인구
0x4F09C8	残都市	잔도시
0x4F0AB8	状態	상태
0x4F0AC0	資源	자원
0x4F0AC8	方針	방침
0x4F0AD0	軍団選択	군단선택
0x4F0AE0	地図	지도
0x4F0B28	軍団一覧	군단일람
0x4F0B60	未知	미지
0x4F0B68	無視	무시
0x4F0B70	知己	지기
0x4F0B78	好意	호의
0x4F0B80	信頼	신뢰
0x4F0B88	敬愛	경애
0x4F0C10	%sの太守を選択して下さい	%s의 태수를 선택하십시오
0x4F0C30	%sの都督を選択して下さい	%s의 도독을 선택하십시오
0x4F0C50	%s%s%s所在の%s	%s%s%s 소재 %s
0x4F0C60	%s%s%s所在の%s%s%s軍・%s	%s%s%s 소재 %s%s%s군・%s
0x4F0C80	%s%s%s所在の%s%s%s軍配下	%s%s%s 소재 %s%s%s군 휘하
0x4F0CA0	%s%s%s所在の放浪軍%s	%s%s%s 소재 방랑군%s
0x4F0CB8	%s%s%s所在の	%s%s%s 소재
0x4F0CD0	その後の展開を見守りますか？	이후 전개를 지켜보시겠습니까?
0x4F1398	魏	위
0x4F13A0	呉	오
0x4F13A8	蜀	촉
0x4F13B0	燕	연
0x4F13B8	趙	조
0x4F13C0	斉	제
0x4F13C8	宋	송
0x4F13D0	楚	초
0x4F13D8	韓	한
0x4F13E0	秦	진
0x4F13E8	越	월
0x4F13F0	涼	양
0x4F13F8	大越	대월
0x4F1400	成	성
0x4F1408	周	주
0x4F1410	魯	노
0x4F1418	巴	파
0x4F1420	隋	수
0x4F1428	陳	진
0x4F1430	沛	패
0x4F1438	黄	황
0x4F1440	商	상
0x4F1448	陽	양
0x4F1450	夏	하
0x4F1458	遼	요
0x4F1460	梁	양
0x4F1468	殷	은
0x4F1470	新	신
0x4F1478	金	금
0x4F1480	鮮	선
0x4F1488	麗	여
0x4F1490	北魏	북위
0x4F1498	東魏	동위
0x4F14A0	西魏	서위
0x4F14A8	東呉	동오
0x4F14B0	西蜀	서촉
0x4F14B8	北燕	북연
0x4F14C0	東燕	동연
0x4F14C8	北趙	북조
0x4F14D0	南趙	남조
0x4F14D8	北斉	북제
0x4F14E0	東斉	동제
0x4F14E8	南斉	남제
0x4F14F0	北宋	북송
0x4F14F8	南宋	남송
0x4F1500	北楚	북초
0x4F1508	東楚	동초
0x4F1510	北秦	북진
0x4F1518	南秦	남진
0x4F1520	北越	북월
0x4F1528	南越	남월
0x4F1530	東越	동월
0x4F1538	西越	서월
0x4F1540	北涼	북량
0x4F1548	南涼	남량
0x4F1550	北周	북주
0x4F1558	南周	남주
0x4F1560	東周	동주
0x4F1568	西周	서주
0x4F1570	北晋	북진
0x4F1578	南晋	남진
0x4F1580	東晋	동진
0x4F1588	西晋	서진
0x4F1590	東夏	동하
0x4F1598	西夏	서하
0x4F15A0	北遼	북요
0x4F15A8	南遼	남요
0x4F15B0	東遼	동요
0x4F15B8	西遼	서요
0x4F15C0	北梁	북량
0x4F15C8	南梁	남량
0x4F15D0	東梁	동량
0x4F15D8	西梁	서량
0x4F1B60	劉	유
0x4F1B80	武勇	무용
0x4F1B88	知謀	지모
0x4F1B90	才能	재능
0x4F1E40	突撃	돌격
0x4F1E48	乱撃	난격
0x4F1E50	撹乱	교란
0x4F1E58	奇襲	기습
0x4F1E60	槍衾	창벽
0x4F1E68	車懸	차현
0x4F1E70	火矢	화시
0x4F1E78	斉射	제사
0x4F1E80	乱射	난사
0x4F1E88	矢嵐	화살비
0x4F1E90	激流	격류
0x4F1E98	烈火	열화
0x4F1EA0	落石	낙석
0x4F1EA8	妖術	요술
0x4F1EB0	攻城	공성
0x4F1EB8	武力	무력
0x4F1EC0	知力	지력
0x4F1EC8	政治	정치
0x4F1ED0	魅力	매력
0x4F1ED8	冷静	냉정
0x4F1EE0	勇猛	용맹
0x4F1FD8	金	금
0x4F1FE0	兵糧	병량
0x4F1FE8	兵士	병사
0x4F2090	＋	＋
0x4F2098	－	－
0x4F20A0	（	（
0x4F20A8	）	）
0x4F20B0	［	［
0x4F20B8	］	］
0x4F20C0	／	／
0x4F20C8	，	，
0x4F20D0	．	．
0x4F20D8	Ａ	Ａ
0x4F20E0	Ｂ	Ｂ
0x4F20E8	Ｃ	Ｃ
0x4F20F0	Ｄ	Ｄ
0x4F20F8	Ｅ	Ｅ
0x4F2100	Ｆ	Ｆ
0x4F2108	Ｇ	Ｇ
0x4F2110	Ｈ	Ｈ
0x4F2118	Ｉ	Ｉ
0x4F2120	Ｊ	Ｊ
0x4F2128	Ｋ	Ｋ
0x4F2130	Ｌ	Ｌ
0x4F2138	Ｍ	Ｍ
0x4F2140	Ｎ	Ｎ
0x4F2148	Ｏ	Ｏ
0x4F2150	Ｐ	Ｐ
0x4F2158	Ｑ	Ｑ
0x4F2160	Ｒ	Ｒ
0x4F2168	Ｓ	Ｓ
0x4F2170	Ｔ	Ｔ
0x4F2178	Ｕ	Ｕ
0x4F2180	Ｖ	Ｖ
0x4F2188	Ｗ	Ｗ
0x4F2190	Ｘ	Ｘ
0x4F2198	Ｙ	Ｙ
0x4F21A0	Ｚ	Ｚ
0x4F21A8	ａ	ａ
0x4F21B0	ｂ	ｂ
0x4F21B8	ｃ	ｃ
0x4F21C0	ｄ	ｄ
0x4F21C8	ｅ	ｅ
0x4F21D0	ｆ	ｆ
0x4F21D8	ｇ	ｇ
0x4F21E0	ｈ	ｈ
0x4F21E8	ｉ	ｉ
0x4F21F0	ｊ	ｊ
0x4F21F8	ｋ	ｋ
0x4F2200	ｌ	ｌ
0x4F2208	ｍ	ｍ
0x4F2210	ｎ	ｎ
0x4F2218	ｏ	ｏ
0x4F2220	ｐ	ｐ
0x4F2228	ｑ	ｑ
0x4F2230	ｒ	ｒ
0x4F2238	ｓ	ｓ
0x4F2240	ｔ	ｔ
0x4F2248	ｕ	ｕ
0x4F2250	ｖ	ｖ
0x4F2258	ｗ	ｗ
0x4F2260	ｘ	ｘ
0x4F2268	ｙ	ｙ
0x4F2270	ｚ	ｚ
0x4F2620	番号	번호
0x4F2628	勢力	세력
0x4F2630	放浪軍	방랑군
0x4F2638	ﾙﾋﾞ	읽기
0x4F2640	国号	국호
0x4F2648	官爵	관작
0x4F2650	君主	군주
0x4F2658	軍師	군사
0x4F2660	本拠	본거
0x4F2668	軍団	군단
0x4F2670	都市	도시
0x4F2678	武将	무장
0x4F2680	擁立	옹립
0x4F2688	友好	우호
0x4F2690	同盟	동맹
0x4F2698	同盟残月	동맹잔월
0x4F26A8	連合盟主	연합맹주
0x4F26B8	盟主勢力	맹주세력
0x4F26C8	連合標的	연합표적
0x4F26D8	標的勢力	표적세력
0x4F26E8	加盟勢力	가맹세력
0x4F26F8	連合残月	연합잔월
0x4F2708	旗番号	기번호
0x4F2710	隣接	인접
0x4F2718	金	금
0x4F2720	兵糧	병량
0x4F2728	兵士	병사
0x4F2730	金収支	금수지
0x4F2738	兵糧収支	병량수지
0x4F2748	技術Lv	기술Lv
0x4F2750	軽歩	경보병
0x4F2758	重歩	중보병
0x4F2760	蛮兵	만병
0x4F2768	軽騎	경기병
0x4F2770	重騎	중기병
0x4F2778	山騎	산기
0x4F2780	弩兵	노병
0x4F2788	連弩	연노
0x4F2790	象兵	상병
0x4F2798	衝車	충차
0x4F27A0	投石	투석
0x4F27A8	井闌	정란
0x4F27B0	蒙衝	몽충
0x4F27B8	楼船	누선
0x4F27C0	人口	인구
0x4F27C8	標的距離	표적거리
0x4F29B8	友好	우호
0x4F29C0	連盟	연맹
0x4F29C8	資源	자원
0x4F29D0	状態	상태
0x4F29D8	兵科	병과
0x4F29E0	兵器	병기
0x4F29E8	勢力選択	세력선택
0x4F29F8	地図	지도
0x4F2A78	勢力一覧	세력일람
0x4F2B28	歩兵	보병
0x4F2B30	騎兵	기병
0x4F2B38	弩兵	노병
0x4F2B40	船	선
0x4F2B48	守備	수비
0x4F2B50	番号	번호
0x4F2B58	兵科	병과
0x4F2B60	ﾙﾋﾞ	읽기
0x4F2B68	系統	계통
0x4F2B70	編成金	편성금
0x4F2B78	技術Lv	기술Lv
0x4F2B80	説明	설명
0x4F2B88	突撃	돌격
0x4F2B90	乱撃	난격
0x4F2B98	撹乱	교란
0x4F2BA0	奇襲	기습
0x4F2BA8	槍衾	창벽
0x4F2BB0	車懸	차현
0x4F2BB8	火矢	화시
0x4F2BC0	斉射	제사
0x4F2BC8	乱射	난사
0x4F2BD0	矢嵐	화살비
0x4F2BD8	激流	격류
0x4F2BE0	烈火	열화
0x4F2BE8	落石	낙석
0x4F2BF0	妖術	요술
0x4F2BF8	攻城	공성
0x4F2DA0	攻城兵器	공성병기
0x4F2DB0	水上兵器	수상병기
0x4F2DC0	番号	번호
0x4F2DC8	兵器	병기
0x4F2DD0	ﾙﾋﾞ	읽기
0x4F2DD8	系統	계통
0x4F2DE0	編成金	편성금
0x4F2DE8	技術Lv	기술Lv
0x4F2DF0	説明	설명
0x4F2E60	ＨＥＬＰ	HELP
0x4F2E88	＋  頁切替	＋  쪽전환
0x4F2EA8	チュートリアル	튜토리얼
0x4F2EB8	用語辞典	용어사전
0x4F2EE0	回復	회복
0x4F2EE8	逃亡	도망
0x4F2EF0	愚弄	우롱
0x4F2EF8	威圧	위압
0x4F2F00	斬り(弱)	베기(약)
0x4F2F10	斬り(強)	베기(강)
0x4F2F20	突き(弱)	찌르기(약)
0x4F2F30	突き(強)	찌르기(강)
0x4F2F40	隙狙い 突き(弱)	허점 찌르기(약)
0x4F2F50	隙狙い 突き(強)	허점 찌르기(강)
0x4F2F60	防御～ダメージ受け(弱)	방어~피해받기(약)
0x4F2F80	防御～ダメージ受け(強)	방어~피해받기(강)
0x4F2F98	無防備	무방비
0x4F2FA0	継続	계속
0x4F30C0	番号	번호
0x4F30C8	アイテム	아이템
0x4F30D8	種類	종류
0x4F30E0	ＣＧ	CG
0x4F30E8	忠誠	충성
0x4F30F0	効果	효과
0x4F30F8	武将	무장
0x4F3100	武力	무력
0x4F3108	知力	지력
0x4F3110	政治	정치
0x4F3118	魅力	매력
0x4F3120	価格	가격
0x4F3128	特技	특기
0x4F3130	発掘	발굴
0x4F3138	売買	매매
0x4F3140	都市	도시
0x4F3148	ﾃﾞｰﾀ	데이터
0x4F3150	売値	판매가
0x4F3158	買値	구매가
0x4F3160	説明	설명
0x4F3168	能力	능력
0x4F3170	名馬	명마
0x4F3178	武具	무구
0x4F3180	地図	지도
0x4F3188	医書	의서
0x4F3190	奇書	기서
0x4F3198	兵書	병서
0x4F31A0	経書	경서
0x4F31A8	史書	사서
0x4F31B0	論文	논문
0x4F31B8	玉璽	옥새
0x4F31C0	宝物	보물
0x4F31C8	装飾	장식
0x4F36F8	ｱｲﾃﾑ情報	아이템 정보
0x4F3730	種類	종류
0x4F3738	能力	능력
0x4F3778	特徴	특징
0x4F3780	ｱｲﾃﾑ選択	아이템 선택
0x4F37C8	ｱｲﾃﾑ一覧	아이템 일람
0x4F3868	並替	정렬
0x4F3870	解除	해제
0x4F3878	最大	최대
0x4F3880	決定	결정
0x4F3898	項目切替	항목전환
0x4F38E8	済	제
0x4F38F0	未	미
0x4F38F8	男	남
0x4F3900	女	여
0x4F3908	少し	조금
0x4F3918	かなり	상당히
0x4F3920	仲良く	친하게
0x4F3928	気まずく	어색하게
0x4F3938	攻撃	공격
0x4F3940	守備	수비
0x4F3948	勝利	승리
0x4F3950	敗北	패배
0x4F39A8	突撃	돌격
0x4F39B0	乱撃	난격
0x4F39B8	撹乱	교란
0x4F39C0	奇襲	기습
0x4F39C8	槍衾	창벽
0x4F39D0	車懸	차현
0x4F39D8	火矢	화시
0x4F39E0	斉射	제사
0x4F39E8	乱射	난사
0x4F39F0	矢嵐	화살비
0x4F39F8	激流	격류
0x4F3A00	烈火	열화
0x4F3A08	落石	낙석
0x4F3A10	妖術	요술
0x4F3A18	攻城	공성
0x4F3A20	　　	
0x4F3A28	－	－
0x4F3A30	－－	－－
0x4F3A38	－－－	－－－
0x4F3A40	－－－－	－－－－
0x4F3A50	－－－－－－－－－－	－－－－－－－－－－
0x4F3AD0	　	
0x4F3AD8	　　　	
0x4F3AE0	　　　　	
0x4F3AF0	　　　　　	
0x4F3B00	外字	외자
0x4F3BC0	未設定	미설정
0x4F3EE0	番号	번호
0x4F3EE8	武将ID	무장ID
0x4F3EF0	武将	무장
0x4F3EF8	字	자
0x4F3F00	ﾙﾋﾞ	읽기
0x4F3F10	性別	성별
0x4F3F18	身分	신분
0x4F3F20	所在	소재
0x4F3F28	軍団	군단
0x4F3F30	勢力	세력
0x4F3F38	親密	친밀
0x4F3F40	埋伏	매복
0x4F3F48	内通	내통
0x4F3F50	武力	무력
0x4F3F58	知力	지력
0x4F3F60	政治	정치
0x4F3F68	魅力	매력
0x4F3F70	悪名	악명
0x4F3F78	血縁	혈연
0x4F3F80	相性	상성
0x4F3F88	義理	의리
0x4F3F90	野望	야망
0x4F3F98	冷静	냉정
0x4F3FA0	勇猛	용맹
0x4F3FA8	寿命	수명
0x4F3FB0	有名	유명
0x4F3FB8	成長	성장
0x4F3FC0	戦略傾向	전략경향
0x4F3FD0	人物傾向	인물경향
0x4F3FE0	賊武将	적무장
0x4F3FE8	再仕官禁止武将	재사관금지무장
0x4F3FF8	再仕官禁止期間	재사관금지기간
0x4F4008	前仕事	전임무
0x4F4010	前成果	전성과
0x4F4018	提案	제안
0x4F4020	意欲	의욕
0x4F4028	命令	명령
0x4F4030	成果0	성과0
0x4F4038	成果1	성과1
0x4F4040	成果2	성과2
0x4F4048	成果	성과
0x4F4050	特権回数	특권횟수
0x4F4060	親	친
0x4F4068	生年	생년
0x4F4070	年齢	연령
0x4F4078	仕官	사관
0x4F4080	武力経験	무력경험
0x4F4090	知力経験	지력경험
0x4F40A0	政治経験	정치경험
0x4F40B0	魅力経験	매력경험
0x4F40C0	忠誠	충성
0x4F40C8	階級	계급
0x4F40D0	俸禄	봉록
0x4F40D8	功績	공적
0x4F40E0	失策	실책
0x4F40E8	名声	명성
0x4F40F0	健康	건강
0x4F40F8	兵科	병과
0x4F4100	兵士上限	병사상한
0x4F4110	実行	실행
0x4F4118	行動力	행동력
0x4F4120	所持金	소지금
0x4F4128	仕事	업무
0x4F4130	ｱｲﾃﾑ	아이템
0x4F4138	猛者	맹자
0x4F4140	智嚢	지낭
0x4F4148	治略	치략
0x4F4150	人徳	인덕
0x4F4158	医術	의술
0x4F4160	天文	천문
0x4F4168	耕作	경작
0x4F4170	商才	상재
0x4F4178	築城	축성
0x4F4180	警備	경비
0x4F4188	発明	발명
0x4F4190	威風	위풍
0x4F4198	弁舌	변설
0x4F41A0	反計	반계
0x4F41A8	挑発	도발
0x4F41B0	混乱	혼란
0x4F41B8	虚報	허보
0x4F41C0	歩兵	보병
0x4F41C8	騎兵	기병
0x4F41D0	弩兵	노병
0x4F41D8	水軍	수군
0x4F41E0	偵察	정찰
0x4F41E8	？？	??
0x4F41F0	突撃	돌격
0x4F41F8	乱撃	난격
0x4F4200	撹乱	교란
0x4F4208	奇襲	기습
0x4F4210	槍衾	창벽
0x4F4218	車懸	차현
0x4F4220	火矢	화시
0x4F4228	斉射	제사
0x4F4230	乱射	난사
0x4F4238	矢嵐	화살비
0x4F4240	激流	격류
0x4F4248	烈火	열화
0x4F4250	落石	낙석
0x4F4258	妖術	요술
0x4F4260	攻城	공성
0x4F4268	列伝	열전
0x4F4270	仇敵	구적
0x4F4278	総大将	총대장
0x4F4280	参軍	참군
0x4F4288	兵士	병사
0x4F4290	兵器	병기
0x4F4298	役	역
0x4F42A0	親友	친우
0x4F42A8	編集	편집
0x4F42B0	史実	사실
0x4F42B8	全能	전능
0x4F42C0	神眼	신안
0x4F42C8	鬼謀	귀모
0x4F42D0	神算	신산
0x4F42D8	君主	군주
0x4F42E0	都督	도독
0x4F42E8	太守	태수
0x4F42F0	軍師	군사
0x4F42F8	一般	일반
0x4F4300	頭領	두령
0x4F4308	同志	동지
0x4F4310	在野	재야
0x4F4318	未発見	미발견
0x4F4320	待機	대기
0x4F4328	死亡	사망
0x4F4330	－－	－－
0x4F4338	軽歩	경보병
0x4F4340	重歩	중보병
0x4F4348	蛮兵	만병
0x4F4350	軽騎	경기병
0x4F4358	重騎	중기병
0x4F4360	山騎	산기
0x4F4368	連弩	연노
0x4F4370	象兵	상병
0x4F4378	城門	성문
0x4F4380	城壁	성벽
0x4F4388	門兵	문병
0x4F4390	ｹｲﾎ	경보
0x4F4398	ｼﾞｭｳﾎ	중보
0x4F43A0	ﾊﾞﾝﾍｲ	만병
0x4F43A8	ｹｲｷ	경기
0x4F43B0	ｼﾞｭｳｷ	중기
0x4F43B8	ｻﾝｷ	산기
0x4F43C0	ﾄﾞﾍｲ	노병
0x4F43C8	ﾚﾝﾄﾞ	연노
0x4F43D0	ｿﾞｳﾍｲ	상병
0x4F43D8	ｼﾞｮｳﾓﾝ	성문
0x4F43E0	ｼﾞｮｳﾍｷ	성벽
0x4F43E8	ﾓﾝﾍﾟｲ	문병
0x4F43F0	衝車	충차
0x4F43F8	投石	투석
0x4F4400	井闌	정란
0x4F4408	蒙衝	몽충
0x4F4410	楼船	누선
0x4F4418	ｼｮｳｼｬ	충차
0x4F4420	ﾄｳｾｷ	투석
0x4F4428	ｾｲﾗﾝ	정란
0x4F4430	ﾓｳｼｮｳ	몽충
0x4F4438	ﾛｳｾﾝ	누선
0x4F4440	猛将型	맹장형
0x4F4448	知力型	지력형
0x4F4450	政治型	정치형
0x4F4458	魅力型	매력형
0x4F4460	将軍型	장군형
0x4F4468	軍師型	군사형
0x4F4470	万能型	만능형
0x4F4478	平凡型	평범형
0x4F4480	良	양호
0x4F4488	軽症	경상
0x4F4490	重症	중상
0x4F4498	無関心	무관심
0x4F44A0	内政	내정
0x4F44A8	バランス	균형
0x4F44B8	好戦	호전
0x4F44C0	軍備	군비
0x4F44C8	謀略	모략
0x4F44D0	私欲	사욕
0x4F44D8	能力	능력
0x4F44E0	義理低	의리저
0x4F44E8	なし	없음
0x4F44F0	自宅	자택
0x4F44F8	宮城	궁성
0x4F4500	農村	농촌
0x4F4508	市場	시장
0x4F4510	屯所	둔소
0x4F4518	工房	공방
0x4F4520	兵舎	병영
0x4F4528	酒家	주점
0x4F4530	飯店	반점
0x4F4538	初	초
0x4F4540	弐	이
0x4F4548	参	삼
0x4F4550	四	사
0x4F4558	五	오
0x4F4560	極	극
0x4F4568	未	미
0x4F4580	飲	음
0x4F4588	悪	악
0x4F4590	宦	환
0x4F4598	文	문
0x4F45A0	住	주
0x4F45A8	湖	호
0x4F45B0	異	이
0x4F45B8	倭	왜
0x4F45C0	使	사
0x4F45C8	衛	위
0x4F45D0	農	농
0x4F45D8	兵	병
0x4F45E0	商	상
0x4F45E8	大	대
0x4F45F0	老	노
0x4F45F8	若	약
0x4F4600	富	부
0x4F4608	子	자
0x4F4610	手	수
0x4F4618	職	직
0x4F4620	泥	니
0x4F4628	旅	여
0x4F4630	酒	주
0x4F4638	宿	숙
0x4F4640	夫	부
0x4F4648	小	소
0x4F4650	釣	조
0x4F4658	暴	폭
0x4F4660	質	질
0x4F4668	豪	호
0x4F4670	闇	암
0x4F4678	行	행
0x4F4680	女	여
0x4F4688	な	
0x4F4690	平	평
0x4F4698	臣	신
0x4F46A0	官	관
0x4F46A8	民	민
0x4F46B0	賊	적
0x4F46B8	民族	민족
0x4F46C0	人	인
0x4F46C8	者	자
0x4F46D0	士	사
0x4F46D8	工	공
0x4F46E0	娘	낭
0x4F46E8	供	공
0x4F46F0	伝	전
0x4F46F8	棒	봉
0x4F4700	那	나
0x4F4708	梅	매
0x4F4710	屋	옥
0x4F4718	の子	의 자식
0x4F4720	し	
0x4F4730	－	－
0x4F4E48	能力	능력
0x4F4E50	所属	소속
0x4F4E58	実績	실적
0x4F4E60	個人	개인
0x4F4E68	人脈	인맥
0x4F4E70	特技１	특기1
0x4F4E78	特技２	특기2
0x4F4E80	特技３	특기3
0x4F4E88	特技４	특기4
0x4F4E90	戦法１	전법1
0x4F4E98	戦法２	전법2
0x4F4EA0	戦法３	전법3
0x4F4EA8	戦法４	전법4
0x4F4EB0	武将選択	무장 선택
0x4F4EC0	個別編成	개별 편성
0x4F4F48	武将一覧	무장 일람
0x4F4F98	武将編集	무장 편집
0x4F4FE8	番号	번호
0x4F4FF0	官爵	관작
0x4F4FF8	勢力	세력
0x4F5000	説明	설명
0x4F5008	、	,
0x4F5010	、他%2d勢力	, 외 %2d세력
0x4F5020	種類	종류
0x4F5028	対象１	대상1
0x4F5030	対象２	대상2
0x4F5038	対象３	대상3
0x4F5040	義兄	의형
0x4F5048	義姉	의누나
0x4F5050	義弟	의아우
0x4F5058	義妹	의누이
0x4F5060	夫	남편
0x4F5068	妻	아내
0x4F5070	父	부
0x4F5078	母	모
0x4F5080	息子	아들
0x4F5088	娘	딸
0x4F5090	兄	형
0x4F5098	姉	자
0x4F50A0	弟	제
0x4F50A8	妹	매
0x4F50B0	一族	일족
0x4F50B8	友	우
0x4F50D8	閉じる	닫기
0x4F50E8	実行	실행
0x4F50F0	中止	중지
0x4F50F8	 はい 	 예 
0x4F5108	いいえ	아니요
0x4F5250	魅力 100	매력 100
0x4F5330	セーブをしないと\n現在のデータが失われます\nタイトル画面に戻りますか？	세이브하지 않으면\n현재 데이터를 잃게 됩니다\n타이틀로 돌아가시겠습니까?
0x4F5380	タイトル画面に戻りますか？	타이틀로 돌아가시겠습니까?
0x4F53A0	軍団方針	군단 방침
0x4F53B0	都市方針	도시 방침
0x4F53C0	軍団編成	군단 편성
0x4F53D0	配属	배속
0x4F53D8	異動	이동
0x4F53E0	登用	등용
0x4F53E8	授与	수여
0x4F53F0	没収	몰수
0x4F53F8	太守	태수
0x4F5400	軍師	군사
0x4F5408	解雇	해고
0x4F5410	輸送	수송
0x4F5418	出陣	출진
0x4F5420	購入	구입
0x4F5428	売却	매각
0x4F5430	徴兵	징병
0x4F5438	反乱	반란
0x4F5440	放浪	방랑
0x4F5448	贈呈	증정
0x4F5450	要求	요구
0x4F5458	同盟	동맹
0x4F5460	破棄	파기
0x4F5468	勧告	권고
0x4F5470	連合	연합
0x4F5478	脱退	탈퇴
0x4F5480	加盟	가맹
0x4F5488	離間	이간
0x4F5490	破壊	파괴
0x4F5498	扇動	선동
0x4F54A0	内通	내통
0x4F54A8	埋伏	매복
0x4F54B0	諜報	첩보
0x4F54B8	開墾	개간
0x4F54C0	商業	상업
0x4F54C8	技術	기술
0x4F54D0	補修	보수
0x4F54D8	治安	치안
0x4F54E0	仕官	사관
0x4F54E8	納入	납입
0x4F54F0	引出	인출
0x4F54F8	買う	구매
0x4F5500	売る	판매
0x4F5508	討伐	토벌
0x4F5510	訓練	훈련
0x4F5518	募兵	모병
0x4F5520	入金	입금
0x4F5528	出金	출금
0x4F5530	略奪	약탈
0x4F5538	訪問	방문
0x4F5540	転居	이주
